order_id,customer_id,order_date,category,state,city,revenue,items,payment_type
ORD00001,C00556,2022-04-13,Food & Drink,PR,Curitiba,75.07,3,debit_card
ORD00002,C00184,2022-11-27,Beauty,RS,Porto Alegre,70.0,3,boleto
ORD00003,C00764,2022-11-05,Toys,RJ,Rio de Janeiro,85.0,1,credit_card
ORD00004,C00334,2023-04-05,Automotive,SP,São Paulo,217.04,3,boleto
ORD00005,C00769,2023-04-21,Home & Garden,BA,Salvador,393.54,1,debit_card
ORD00006,C00330,2023-04-30,Beauty,ES,Vitória,40.04,4,credit_card
ORD00007,C00276,2022-11-12,Health,ES,Vitória,21.15,2,voucher
ORD00008,C00177,2022-04-02,Books,GO,Goiânia,28.24,2,credit_card
ORD00009,C00125,2023-01-23,Toys,SC,Florianópolis,225.48,2,credit_card
ORD00010,C00531,2023-02-06,Fashion,PE,Recife,359.51,2,debit_card
ORD00011,C00036,2022-09-28,Books,ES,Vitória,385.05,1,voucher
ORD00012,C00248,2022-12-04,Food & Drink,PE,Recife,386.62,4,voucher
ORD00013,C00057,2023-05-08,Electronics,ES,Vitória,552.93,4,credit_card
ORD00014,C00006,2023-04-17,Home & Garden,SP,São Paulo,288.87,3,credit_card
ORD00015,C00030,2023-01-14,Books,PE,Recife,59.61,3,credit_card
ORD00016,C00026,2022-02-02,Books,GO,Goiânia,271.38,4,voucher
ORD00017,C00189,2023-07-01,Beauty,MG,Belo Horizonte,307.9,2,debit_card
ORD00018,C00198,2023-02-02,Automotive,PE,Recife,24.79,1,debit_card
ORD00019,C00126,2022-08-29,Sports,PR,Curitiba,110.98,1,debit_card
ORD00020,C00082,2022-06-20,Books,MG,Belo Horizonte,77.07,2,boleto
ORD00021,C00088,2022-01-28,Sports,PE,Recife,62.0,1,debit_card
ORD00022,C00045,2022-07-09,Automotive,ES,Vitória,329.94,1,debit_card
ORD00023,C00066,2022-12-25,Automotive,PR,Curitiba,281.59,2,voucher
ORD00024,C00088,2023-01-09,Food & Drink,ES,Vitória,170.48,2,credit_card
ORD00025,C00755,2023-03-18,Books,RJ,Rio de Janeiro,289.22,1,credit_card
ORD00026,C00107,2022-03-22,Fashion,RJ,Rio de Janeiro,173.25,3,credit_card
